
 Daxpy product:
   Blaze [MFlop/s]:
     100         7152.39
     1000        9451.37
     10000       4097.42
     100000      7274.43
     1000000     8073
     10000000    2980.53
   N=100, steps=61674166
     Blaze       = 1        (1.72457)
   N=1000, steps=9056429
     Blaze       = 1        (1.91643)
   N=10000, steps=396047
     Blaze       = 1        (1.93315)
   N=100000, steps=69564
     Blaze       = 1        (1.91256)
   N=1000000, steps=7564
     Blaze       = 1        (1.8739)
   N=10000000, steps=222
     Blaze       = 1        (1.48967)
