
 Daxpy product:
   Blaze [MFlop/s]:
     100         6478.35
     1000        9320.32
     10000       4096.73
     100000      6688.08
     1000000     6905.02
     10000000    2185.35
   N=100, steps=71823383
     Blaze       = 1        (2.21733)
   N=1000, steps=8811010
     Blaze       = 1        (1.89071)
   N=10000, steps=404296
     Blaze       = 1        (1.97375)
   N=100000, steps=53434
     Blaze       = 1        (1.59789)
   N=1000000, steps=6630
     Blaze       = 1        (1.92034)
   N=10000000, steps=189
     Blaze       = 1        (1.7297)
