
 Daxpy product:
   Blaze [MFlop/s]:
     100         7147.43
     1000        8951.94
     10000       4091.14
     100000      8823.88
     1000000     9753.61
     10000000    2038.38
   N=100, steps=71775398
     Blaze       = 1        (2.00842)
   N=1000, steps=8812784
     Blaze       = 1        (1.96891)
   N=10000, steps=409102
     Blaze       = 1        (1.99994)
   N=100000, steps=86623
     Blaze       = 1        (1.96338)
   N=1000000, steps=9601
     Blaze       = 1        (1.96871)
   N=10000000, steps=204
     Blaze       = 1        (2.00159)
