
 Daxpy product:
   Blaze [MFlop/s]:
     100         7142.24
     1000        9069.2
     10000       4091.2
     100000      5279.77
     1000000     5564.98
     10000000    2000.97
   N=100, steps=67902196
     Blaze       = 1        (1.90143)
   N=1000, steps=8970506
     Blaze       = 1        (1.97824)
   N=10000, steps=409639
     Blaze       = 1        (2.00254)
   N=100000, steps=52006
     Blaze       = 1        (1.97001)
   N=1000000, steps=5050
     Blaze       = 1        (1.81492)
   N=10000000, steps=188
     Blaze       = 1        (1.87908)
