
 Daxpy product:
   Blaze [MFlop/s]:
     100         6917.56
     1000        8892.01
     10000       4102.71
     100000      6267.79
     1000000     6916.01
     10000000    2465.38
   N=100, steps=72250805
     Blaze       = 1        (2.08891)
   N=1000, steps=9008845
     Blaze       = 1        (2.02628)
   N=10000, steps=400188
     Blaze       = 1        (1.95085)
   N=100000, steps=57351
     Blaze       = 1        (1.83002)
   N=1000000, steps=6718
     Blaze       = 1        (1.94274)
   N=10000000, steps=209
     Blaze       = 1        (1.69548)
