run # 1

hxp::seq: 1.23059e+07 microsec. 

hpx::par: 2.70805e+06 microsec. 

hpx::par_unseq: 2.71445e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23856e+07 microsec. 

std::par: 2.7054e+06 microsec. 

std::par_unseq: 2.71442e+06 microsec. 

run # 2

hxp::seq: 1.233e+07 microsec. 

hpx::par: 2.70887e+06 microsec. 

hpx::par_unseq: 2.71358e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23488e+07 microsec. 

std::par: 2.70545e+06 microsec. 

std::par_unseq: 2.7168e+06 microsec. 

run # 3

hxp::seq: 1.23453e+07 microsec. 

hpx::par: 2.71492e+06 microsec. 

hpx::par_unseq: 2.71396e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.24014e+07 microsec. 

std::par: 2.70708e+06 microsec. 

std::par_unseq: 2.71555e+06 microsec. 

run # 4

hxp::seq: 1.22886e+07 microsec. 

hpx::par: 2.71401e+06 microsec. 

hpx::par_unseq: 2.71217e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23699e+07 microsec. 

std::par: 2.70624e+06 microsec. 

std::par_unseq: 2.71376e+06 microsec. 

run # 5

hxp::seq: 1.22966e+07 microsec. 

hpx::par: 2.71235e+06 microsec. 

hpx::par_unseq: 2.71131e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23266e+07 microsec. 

std::par: 2.70962e+06 microsec. 

std::par_unseq: 2.71229e+06 microsec. 

run # 6

hxp::seq: 1.23173e+07 microsec. 

hpx::par: 2.70272e+06 microsec. 

hpx::par_unseq: 2.71581e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23233e+07 microsec. 

std::par: 2.70821e+06 microsec. 

std::par_unseq: 2.71138e+06 microsec. 

