run # 1

hxp::seq: 1.23154e+07 microsec. 

hpx::par: 3.52356e+06 microsec. 

hpx::par_unseq: 3.53083e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23393e+07 microsec. 

std::par: 3.52253e+06 microsec. 

std::par_unseq: 3.52524e+06 microsec. 

run # 2

hxp::seq: 1.22823e+07 microsec. 

hpx::par: 3.5207e+06 microsec. 

hpx::par_unseq: 3.52412e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23423e+07 microsec. 

std::par: 3.52237e+06 microsec. 

std::par_unseq: 3.52837e+06 microsec. 

run # 3

hxp::seq: 1.22965e+07 microsec. 

hpx::par: 3.51471e+06 microsec. 

hpx::par_unseq: 3.52968e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.22886e+07 microsec. 

std::par: 3.51304e+06 microsec. 

std::par_unseq: 3.5275e+06 microsec. 

run # 4

hxp::seq: 1.23134e+07 microsec. 

hpx::par: 3.51539e+06 microsec. 

hpx::par_unseq: 3.53261e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.23368e+07 microsec. 

std::par: 3.52757e+06 microsec. 

std::par_unseq: 3.53069e+06 microsec. 

run # 5

hxp::seq: 1.23084e+07 microsec. 

hpx::par: 3.5218e+06 microsec. 

hpx::par_unseq: 3.5272e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.2319e+07 microsec. 

std::par: 3.51638e+06 microsec. 

std::par_unseq: 3.51903e+06 microsec. 

run # 6

hxp::seq: 1.22824e+07 microsec. 

hpx::par: 3.52662e+06 microsec. 

hpx::par_unseq: 3.53138e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.232e+07 microsec. 

std::par: 3.51913e+06 microsec. 

std::par_unseq: 3.5294e+06 microsec. 

