
 Daxpy product:
   Blaze [MFlop/s]:
     100         7196.41
     1000        8926.21
     10000       4112.41
     100000      7111.39
     1000000     8617.17
     10000000    2458.78
   N=100, steps=71749930
     Blaze       = 1        (1.99405)
   N=1000, steps=8809862
     Blaze       = 1        (1.97393)
   N=10000, steps=410438
     Blaze       = 1        (1.99609)
   N=100000, steps=71107
     Blaze       = 1        (1.99981)
   N=1000000, steps=7683
     Blaze       = 1        (1.78318)
   N=10000000, steps=205
     Blaze       = 1        (1.66749)
