
 Daxpy product:
   Blaze [MFlop/s]:
     100         7119.37
     1000        9530.93
     10000       4064.58
     100000      7864.54
     1000000     9480.01
     10000000    3048.77
   N=100, steps=69533645
     Blaze       = 1        (1.95337)
   N=1000, steps=9056345
     Blaze       = 1        (1.90041)
   N=10000, steps=407330
     Blaze       = 1        (2.00429)
   N=100000, steps=73986
     Blaze       = 1        (1.88151)
   N=1000000, steps=8511
     Blaze       = 1        (1.79557)
   N=10000000, steps=215
     Blaze       = 1        (1.4104)
