
 Daxpy product:
   Blaze [MFlop/s]:
     100         6835.77
     1000        9373.63
     10000       4106.06
     100000      1205.14
     1000000     6959.08
     10000000    1955.49
   N=100, steps=71821183
     Blaze       = 1        (2.10134)
   N=1000, steps=9302482
     Blaze       = 1        (1.98482)
   N=10000, steps=407391
     Blaze       = 1        (1.98434)
   N=100000, steps=12205
     Blaze       = 1        (2.0255)
   N=1000000, steps=7008
     Blaze       = 1        (2.01406)
   N=10000000, steps=195
     Blaze       = 1        (1.99439)
