
 Daxpy product:
   Blaze [MFlop/s]:
     100         6755.94
     1000        8966.76
     10000       3910.59
     100000      1097.4
     1000000     6760.25
     10000000    2798.36
   N=100, steps=72147985
     Blaze       = 1        (2.13584)
   N=1000, steps=9044630
     Blaze       = 1        (2.01737)
   N=10000, steps=405686
     Blaze       = 1        (2.07481)
   N=100000, steps=11128
     Blaze       = 1        (2.02807)
   N=1000000, steps=6612
     Blaze       = 1        (1.95614)
   N=10000000, steps=195
     Blaze       = 1        (1.39367)
