
 Daxpy product:
   Blaze [MFlop/s]:
     100         6977.61
     1000        9511.57
     10000       4026.59
     100000      1219.49
     1000000     7038.83
     10000000    2847.97
   N=100, steps=72256443
     Blaze       = 1        (2.07109)
   N=1000, steps=9323366
     Blaze       = 1        (1.96043)
   N=10000, steps=389921
     Blaze       = 1        (1.93673)
   N=100000, steps=11938
     Blaze       = 1        (1.95787)
   N=1000000, steps=6769
     Blaze       = 1        (1.92333)
   N=10000000, steps=193
     Blaze       = 1        (1.35535)
