
 Daxpy product:
   Blaze [MFlop/s]:
     100         7121.48
     1000        9511.76
     10000       4054.02
     100000      8053.05
     1000000     8893.71
     10000000    4253.79
   N=100, steps=72113531
     Blaze       = 1        (2.02524)
   N=1000, steps=9050688
     Blaze       = 1        (1.90305)
   N=10000, steps=408419
     Blaze       = 1        (2.01488)
   N=100000, steps=74234
     Blaze       = 1        (1.84362)
   N=1000000, steps=8789
     Blaze       = 1        (1.97645)
   N=10000000, steps=302
     Blaze       = 1        (1.41991)
