
 Daxpy product:
   Blaze [MFlop/s]:
     100         7158.42
     1000        9498.2
     10000       4022.81
     100000      1203.79
     1000000     6986
     10000000    1955.11
   N=100, steps=72218772
     Blaze       = 1        (2.01773)
   N=1000, steps=9403422
     Blaze       = 1        (1.98004)
   N=10000, steps=395004
     Blaze       = 1        (1.96382)
   N=100000, steps=11806
     Blaze       = 1        (1.96147)
   N=1000000, steps=6804
     Blaze       = 1        (1.94789)
   N=10000000, steps=196
     Blaze       = 1        (2.00501)
