
 Daxpy product:
   Blaze [MFlop/s]:
     100         7147.84
     1000        9494.08
     10000       4034.53
     100000      1214.54
     1000000     7029.68
     10000000    2601.82
   N=100, steps=67421416
     Blaze       = 1        (1.88648)
   N=1000, steps=9405071
     Blaze       = 1        (1.98125)
   N=10000, steps=404663
     Blaze       = 1        (2.006)
   N=100000, steps=12210
     Blaze       = 1        (2.01064)
   N=1000000, steps=7030
     Blaze       = 1        (2.00009)
   N=10000000, steps=197
     Blaze       = 1        (1.51433)
