
 Daxpy product:
   Blaze [MFlop/s]:
     100         7189.55
     1000        8995.65
     10000       4082.74
     100000      1095.05
     1000000     6754.19
     10000000    3176.36
   N=100, steps=72520948
     Blaze       = 1        (2.0174)
   N=1000, steps=8991395
     Blaze       = 1        (1.99905)
   N=10000, steps=410242
     Blaze       = 1        (2.00964)
   N=100000, steps=10897
     Blaze       = 1        (1.99022)
   N=1000000, steps=6565
     Blaze       = 1        (1.94398)
   N=10000000, steps=194
     Blaze       = 1        (1.22153)
