
 Daxpy product:
   Blaze [MFlop/s]:
     100         7192.1
     1000        8964.27
     10000       3977.1
     100000      1101.67
     1000000     6762.77
     10000000    2774.92
   N=100, steps=74302543
     Blaze       = 1        (2.06623)
   N=1000, steps=9038793
     Blaze       = 1        (2.01663)
   N=10000, steps=405451
     Blaze       = 1        (2.03893)
   N=100000, steps=11192
     Blaze       = 1        (2.03183)
   N=1000000, steps=6777
     Blaze       = 1        (2.00421)
   N=10000000, steps=195
     Blaze       = 1        (1.40545)
