
 Daxpy product:
   Blaze [MFlop/s]:
     100         7140.12
     1000        9448.7
     10000       4104.8
     100000      7111.17
     1000000     8341.28
     10000000    3035.58
   N=100, steps=69089551
     Blaze       = 1        (1.93525)
   N=1000, steps=9160230
     Blaze       = 1        (1.93894)
   N=10000, steps=401584
     Blaze       = 1        (1.95666)
   N=100000, steps=69539
     Blaze       = 1        (1.95577)
   N=1000000, steps=7577
     Blaze       = 1        (1.81675)
   N=10000000, steps=202
     Blaze       = 1        (1.33088)
