
 Daxpy product:
   Blaze [MFlop/s]:
     100         7151.3
     1000        9570.78
     10000       3997
     100000      7550.99
     1000000     8654.01
     10000000    2786.59
   N=100, steps=69410531
     Blaze       = 1        (1.9412)
   N=1000, steps=9176505
     Blaze       = 1        (1.91761)
   N=10000, steps=405365
     Blaze       = 1        (2.02835)
   N=100000, steps=74389
     Blaze       = 1        (1.97031)
   N=1000000, steps=8891
     Blaze       = 1        (2.05477)
   N=10000000, steps=282
     Blaze       = 1        (2.02398)
