
 Daxpy product:
   Blaze [MFlop/s]:
     100         7141.06
     1000        9509.33
     10000       4095.96
     100000      7304.81
     1000000     8538.92
     10000000    3416.85
   N=100, steps=72278857
     Blaze       = 1        (2.02432)
   N=1000, steps=9047951
     Blaze       = 1        (1.90296)
   N=10000, steps=405420
     Blaze       = 1        (1.97961)
   N=100000, steps=69801
     Blaze       = 1        (1.9111)
   N=1000000, steps=8149
     Blaze       = 1        (1.90867)
   N=10000000, steps=201
     Blaze       = 1        (1.17652)
