
 Daxpy product:
   Blaze [MFlop/s]:
     100         7148.83
     1000        8953.81
     10000       4086.97
     100000      1089.66
     1000000     6734.16
     10000000    1954.52
   N=100, steps=72524386
     Blaze       = 1        (2.02899)
   N=1000, steps=8961577
     Blaze       = 1        (2.00173)
   N=10000, steps=401943
     Blaze       = 1        (1.96695)
   N=100000, steps=10918
     Blaze       = 1        (2.00393)
   N=1000000, steps=6490
     Blaze       = 1        (1.92748)
   N=10000000, steps=195
     Blaze       = 1        (1.99537)
