
 Daxpy product:
   Blaze [MFlop/s]:
     100         7118.36
     1000        8911.07
     10000       4096.53
     100000      1104.96
     1000000     6781.32
     10000000    2810.31
   N=100, steps=72502791
     Blaze       = 1        (2.03706)
   N=1000, steps=8958738
     Blaze       = 1        (2.0107)
   N=10000, steps=408078
     Blaze       = 1        (1.99231)
   N=100000, steps=10546
     Blaze       = 1        (1.90885)
   N=1000000, steps=6677
     Blaze       = 1        (1.96923)
   N=10000000, steps=193
     Blaze       = 1        (1.37351)
