
 Daxpy product:
   Blaze [MFlop/s]:
     100         7084.96
     1000        9407.21
     10000       4072.53
     100000      1233.52
     1000000     6995.94
     10000000    1973.95
   N=100, steps=72287841
     Blaze       = 1        (2.0406)
   N=1000, steps=9414110
     Blaze       = 1        (2.00147)
   N=10000, steps=407592
     Blaze       = 1        (2.00167)
   N=100000, steps=12295
     Blaze       = 1        (1.99348)
   N=1000000, steps=7060
     Blaze       = 1        (2.01831)
   N=10000000, steps=194
     Blaze       = 1        (1.9656)
