
 Daxpy product:
   Blaze [MFlop/s]:
     100         7162.97
     1000        9006.96
     10000       4068.04
     100000      1089.17
     1000000     6722.82
     10000000    2508.3
   N=100, steps=64212323
     Blaze       = 1        (1.7929)
   N=1000, steps=8931766
     Blaze       = 1        (1.9833)
   N=10000, steps=408871
     Blaze       = 1        (2.01016)
   N=100000, steps=10863
     Blaze       = 1        (1.99473)
   N=1000000, steps=6828
     Blaze       = 1        (2.03129)
   N=10000000, steps=197
     Blaze       = 1        (1.57078)
