
 Daxpy product:
   Blaze [MFlop/s]:
     100         7119.89
     1000        9504.63
     10000       4107.23
     100000      7281.77
     1000000     8180.84
     10000000    3359.68
   N=100, steps=70301957
     Blaze       = 1        (1.9748)
   N=1000, steps=9054359
     Blaze       = 1        (1.90525)
   N=10000, steps=408229
     Blaze       = 1        (1.98786)
   N=100000, steps=69284
     Blaze       = 1        (1.90294)
   N=1000000, steps=7812
     Blaze       = 1        (1.90983)
   N=10000000, steps=200
     Blaze       = 1        (1.19059)
