
 Daxpy product:
   Blaze [MFlop/s]:
     100         7156.75
     1000        9516.75
     10000       3990.36
     100000      7840.75
     1000000     9165.53
     10000000    2922.73
   N=100, steps=71866073
     Blaze       = 1        (2.00834)
   N=1000, steps=9168594
     Blaze       = 1        (1.92683)
   N=10000, steps=408776
     Blaze       = 1        (2.04882)
   N=100000, steps=76814
     Blaze       = 1        (1.95935)
   N=1000000, steps=8781
     Blaze       = 1        (1.91609)
   N=10000000, steps=297
     Blaze       = 1        (2.03235)
