
 Daxpy product:
   Blaze [MFlop/s]:
     100         7137.75
     1000        9340.26
     10000       4076.1
     100000      7329.05
     1000000     8342.26
     10000000    3103.51
   N=100, steps=72796884
     Blaze       = 1        (2.03977)
   N=1000, steps=9043114
     Blaze       = 1        (1.93637)
   N=10000, steps=407571
     Blaze       = 1        (1.99981)
   N=100000, steps=71134
     Blaze       = 1        (1.94115)
   N=1000000, steps=7993
     Blaze       = 1        (1.91627)
   N=10000000, steps=201
     Blaze       = 1        (1.29531)
