
 Daxpy product:
   Blaze [MFlop/s]:
     100         7050.14
     1000        9412.85
     10000       4075.25
     100000      1211.67
     1000000     6890.83
     10000000    3459.68
   N=100, steps=71221767
     Blaze       = 1        (2.02044)
   N=1000, steps=9150834
     Blaze       = 1        (1.94433)
   N=10000, steps=405572
     Blaze       = 1        (1.99041)
   N=100000, steps=12042
     Blaze       = 1        (1.98767)
   N=1000000, steps=6712
     Blaze       = 1        (1.9481)
   N=10000000, steps=195
     Blaze       = 1        (1.12727)
