
 Daxpy product:
   Blaze [MFlop/s]:
     100         7183.54
     1000        8984.8
     10000       4074.32
     100000      1090.04
     1000000     6657.24
     10000000    2796.08
   N=100, steps=72638103
     Blaze       = 1        (2.02235)
   N=1000, steps=8978802
     Blaze       = 1        (1.99866)
   N=10000, steps=400218
     Blaze       = 1        (1.96459)
   N=100000, steps=10941
     Blaze       = 1        (2.00746)
   N=1000000, steps=6441
     Blaze       = 1        (1.93503)
   N=10000000, steps=196
     Blaze       = 1        (1.40196)
