
 Daxpy product:
   Blaze [MFlop/s]:
     100         7168.32
     1000        8905.09
     10000       3959.93
     100000      1087.07
     1000000     6648.59
     10000000    2677.45
   N=100, steps=72509066
     Blaze       = 1        (2.02304)
   N=1000, steps=8957133
     Blaze       = 1        (2.01169)
   N=10000, steps=408754
     Blaze       = 1        (2.06445)
   N=100000, steps=10819
     Blaze       = 1        (1.99048)
   N=1000000, steps=6433
     Blaze       = 1        (1.93515)
   N=10000000, steps=194
     Blaze       = 1        (1.44914)
