
 Daxpy product:
   Blaze [MFlop/s]:
     100         7123.81
     1000        8980.26
     10000       4067.57
     100000      1115.38
     1000000     6731.82
     10000000    3021.99
   N=100, steps=72660079
     Blaze       = 1        (2.03992)
   N=1000, steps=8988418
     Blaze       = 1        (2.00182)
   N=10000, steps=400287
     Blaze       = 1        (1.96819)
   N=100000, steps=11123
     Blaze       = 1        (1.99448)
   N=1000000, steps=6450
     Blaze       = 1        (1.91627)
   N=10000000, steps=194
     Blaze       = 1        (1.28392)
