
 Daxpy product:
   Blaze [MFlop/s]:
     100         7123.03
     1000        9088.63
     10000       4057.59
     100000      7358.6
     1000000     9382.92
     10000000    3582.41
   N=100, steps=68672398
     Blaze       = 1        (1.92818)
   N=1000, steps=8742510
     Blaze       = 1        (1.92383)
   N=10000, steps=395474
     Blaze       = 1        (1.94931)
   N=100000, steps=72681
     Blaze       = 1        (1.9754)
   N=1000000, steps=7593
     Blaze       = 1        (1.61847)
   N=10000000, steps=201
     Blaze       = 1        (1.12215)
