
 Daxpy product:
   Blaze [MFlop/s]:
     100         7158.57
     1000        8987.95
     10000       4089.53
     100000      1113.4
     1000000     6708.13
     10000000    1956.77
   N=100, steps=73571687
     Blaze       = 1        (2.05549)
   N=1000, steps=9047598
     Blaze       = 1        (2.01327)
   N=10000, steps=407187
     Blaze       = 1        (1.99136)
   N=100000, steps=11043
     Blaze       = 1        (1.98365)
   N=1000000, steps=6354
     Blaze       = 1        (1.89442)
   N=10000000, steps=197
     Blaze       = 1        (2.01353)
