
 Daxpy product:
   Blaze [MFlop/s]:
     100         7149.56
     1000        9505.4
     10000       4105.92
     100000      1219.04
     1000000     6929.77
     10000000    3080.43
   N=100, steps=72247986
     Blaze       = 1        (2.02105)
   N=1000, steps=9407093
     Blaze       = 1        (1.97932)
   N=10000, steps=411408
     Blaze       = 1        (2.00397)
   N=100000, steps=11571
     Blaze       = 1        (1.89838)
   N=1000000, steps=6846
     Blaze       = 1        (1.97582)
   N=10000000, steps=194
     Blaze       = 1        (1.25957)
