
 Daxpy product:
   Blaze [MFlop/s]:
     100         7163.99
     1000        9009.25
     10000       4031.97
     100000      1084.43
     1000000     6647.75
     10000000    2820.12
   N=100, steps=71552872
     Blaze       = 1        (1.99757)
   N=1000, steps=8780937
     Blaze       = 1        (1.94932)
   N=10000, steps=399843
     Blaze       = 1        (1.98336)
   N=100000, steps=10696
     Blaze       = 1        (1.97265)
   N=1000000, steps=6353
     Blaze       = 1        (1.91132)
   N=10000000, steps=197
     Blaze       = 1        (1.39711)
