
 Daxpy product:
   Blaze [MFlop/s]:
     100         7156.21
     1000        9461.14
     10000       4094
     100000      1211.52
     1000000     6904.88
     10000000    3048.1
   N=100, steps=69009938
     Blaze       = 1        (1.92867)
   N=1000, steps=9322497
     Blaze       = 1        (1.97069)
   N=10000, steps=405209
     Blaze       = 1        (1.97953)
   N=100000, steps=12157
     Blaze       = 1        (2.00691)
   N=1000000, steps=6748
     Blaze       = 1        (1.95456)
   N=10000000, steps=194
     Blaze       = 1        (1.27292)
