
 Daxpy product:
   Blaze [MFlop/s]:
     100         7147.9
     1000        9088.72
     10000       4007
     100000      7009.25
     1000000     8479.85
     10000000    4117.86
   N=100, steps=72370512
     Blaze       = 1        (2.02495)
   N=1000, steps=9045569
     Blaze       = 1        (1.9905)
   N=10000, steps=407657
     Blaze       = 1        (2.03472)
   N=100000, steps=70108
     Blaze       = 1        (2.00044)
   N=1000000, steps=7788
     Blaze       = 1        (1.83682)
   N=10000000, steps=202
     Blaze       = 1        (0.981092)
