
 Daxpy product:
   Blaze [MFlop/s]:
     100         6419.87
     1000        9029.66
     10000       4090.05
     100000      7072.3
     1000000     8333.62
     10000000    4571.27
   N=100, steps=72395454
     Blaze       = 1        (2.25536)
   N=1000, steps=9054667
     Blaze       = 1        (2.00554)
   N=10000, steps=391818
     Blaze       = 1        (1.91596)
   N=100000, steps=69149
     Blaze       = 1        (1.95549)
   N=1000000, steps=8026
     Blaze       = 1        (1.92617)
   N=10000000, steps=202
     Blaze       = 1        (0.88378)
