
 Daxpy product:
   Blaze [MFlop/s]:
     100         7182.35
     1000        8966.42
     10000       4091.19
     100000      1091.21
     1000000     6710.38
     10000000    3018.17
   N=100, steps=72696260
     Blaze       = 1        (2.0243)
   N=1000, steps=9066492
     Blaze       = 1        (2.02232)
   N=10000, steps=409701
     Blaze       = 1        (2.00284)
   N=100000, steps=11052
     Blaze       = 1        (2.02565)
   N=1000000, steps=6372
     Blaze       = 1        (1.89915)
   N=10000000, steps=192
     Blaze       = 1        (1.2723)
