
 Daxpy product:
   Blaze [MFlop/s]:
     100         7128.55
     1000        9030.79
     10000       4100.55
     100000      7072.19
     1000000     8232.57
     10000000    4266.77
   N=100, steps=72231819
     Blaze       = 1        (2.02655)
   N=1000, steps=9044007
     Blaze       = 1        (2.00293)
   N=10000, steps=398615
     Blaze       = 1        (1.9442)
   N=100000, steps=69560
     Blaze       = 1        (1.96714)
   N=1000000, steps=7781
     Blaze       = 1        (1.8903)
   N=10000000, steps=201
     Blaze       = 1        (0.942164)
