
 Daxpy product:
   Blaze [MFlop/s]:
     100         6469.71
     1000        9503.84
     10000       4063.34
     100000      1196
     1000000     6930.89
     10000000    2929.25
   N=100, steps=56762811
     Blaze       = 1        (1.75472)
   N=1000, steps=9404689
     Blaze       = 1        (1.97913)
   N=10000, steps=408834
     Blaze       = 1        (2.01231)
   N=100000, steps=11943
     Blaze       = 1        (1.99715)
   N=1000000, steps=6631
     Blaze       = 1        (1.91346)
   N=10000000, steps=194
     Blaze       = 1        (1.32457)
