
 Daxpy product:
   Blaze [MFlop/s]:
     100         7190.72
     1000        9507.85
     10000       4090.42
     100000      1214.56
     1000000     6901.76
     10000000    2002.99
   N=100, steps=64460311
     Blaze       = 1        (1.79287)
   N=1000, steps=9409286
     Blaze       = 1        (1.97927)
   N=10000, steps=399853
     Blaze       = 1        (1.95507)
   N=100000, steps=12129
     Blaze       = 1        (1.99727)
   N=1000000, steps=6666
     Blaze       = 1        (1.93168)
   N=10000000, steps=194
     Blaze       = 1        (1.9371)
