
 Daxpy product:
   Blaze [MFlop/s]:
     100         7108.8
     1000        8891.11
     10000       4084.38
     100000      7081.69
     1000000     8509.99
     10000000    3667.18
   N=100, steps=71791361
     Blaze       = 1        (2.01979)
   N=1000, steps=9173566
     Blaze       = 1        (2.06354)
   N=10000, steps=409390
     Blaze       = 1        (2.00466)
   N=100000, steps=71091
     Blaze       = 1        (2.00774)
   N=1000000, steps=7703
     Blaze       = 1        (1.81034)
   N=10000000, steps=202
     Blaze       = 1        (1.10166)
