
 Daxpy product:
   Blaze [MFlop/s]:
     100         6685.56
     1000        9012.51
     10000       4025.48
     100000      1091.56
     1000000     6723.65
     10000000    1942.48
   N=100, steps=73104914
     Blaze       = 1        (2.18695)
   N=1000, steps=8939082
     Blaze       = 1        (1.98371)
   N=10000, steps=400328
     Blaze       = 1        (1.98897)
   N=100000, steps=10680
     Blaze       = 1        (1.95684)
   N=1000000, steps=6527
     Blaze       = 1        (1.94151)
   N=10000000, steps=197
     Blaze       = 1        (2.02834)
