
 Daxpy product:
   Blaze [MFlop/s]:
     100         7022.1
     1000        8969.76
     10000       4068.85
     100000      4015.91
     1000000     4820.09
     10000000    2761.74
   N=100, steps=71580021
     Blaze       = 1        (2.03871)
   N=1000, steps=8917107
     Blaze       = 1        (1.98826)
   N=10000, steps=407551
     Blaze       = 1        (2.00327)
   N=100000, steps=40836
     Blaze       = 1        (2.03371)
   N=1000000, steps=4852
     Blaze       = 1        (2.01324)
   N=10000000, steps=251
     Blaze       = 1        (1.8177)
