
 Daxpy product:
   Blaze [MFlop/s]:
     100         6957.57
     1000        9075.52
     10000       3917.34
     100000      1215.71
     1000000     6766.21
     10000000    1954.46
   N=100, steps=71674218
     Blaze       = 1        (2.06032)
   N=1000, steps=8917369
     Blaze       = 1        (1.96515)
   N=10000, steps=410479
     Blaze       = 1        (2.0957)
   N=100000, steps=11811
     Blaze       = 1        (1.94306)
   N=1000000, steps=6769
     Blaze       = 1        (2.00082)
   N=10000000, steps=195
     Blaze       = 1        (1.99543)
