
 Daxpy product:
   Blaze [MFlop/s]:
     100         7233.48
     1000        8899.49
     10000       4012.43
     100000      7381.18
     1000000     8534.33
     10000000    3914.22
   N=100, steps=72610746
     Blaze       = 1        (2.00763)
   N=1000, steps=9009316
     Blaze       = 1        (2.02468)
   N=10000, steps=408606
     Blaze       = 1        (2.0367)
   N=100000, steps=67551
     Blaze       = 1        (1.83036)
   N=1000000, steps=7395
     Blaze       = 1        (1.733)
   N=10000000, steps=205
     Blaze       = 1        (1.04746)
