
 Daxpy product:
   Blaze [MFlop/s]:
     100         7187.85
     1000        8996.15
     10000       3993.35
     100000      1278.9
     1000000     7072.88
     10000000    2223.93
   N=100, steps=72376095
     Blaze       = 1        (2.01385)
   N=1000, steps=8921692
     Blaze       = 1        (1.98345)
   N=10000, steps=387544
     Blaze       = 1        (1.94095)
   N=100000, steps=12578
     Blaze       = 1        (1.967)
   N=1000000, steps=6799
     Blaze       = 1        (1.92255)
   N=10000000, steps=197
     Blaze       = 1        (1.77164)
