
 Daxpy product:
   Blaze [MFlop/s]:
     100         7192.99
     1000        8986.09
     10000       4092.42
     100000      1513.7
     1000000     7179.73
     10000000    2908.95
   N=100, steps=67581156
     Blaze       = 1        (1.87908)
   N=1000, steps=8971961
     Blaze       = 1        (1.99686)
   N=10000, steps=407502
     Blaze       = 1        (1.99149)
   N=100000, steps=14650
     Blaze       = 1        (1.93565)
   N=1000000, steps=7280
     Blaze       = 1        (2.02793)
   N=10000000, steps=195
     Blaze       = 1        (1.34069)
