
 Daxpy product:
   Blaze [MFlop/s]:
     100         7189.32
     1000        9402.43
     10000       4076.72
     100000      2439.38
     1000000     6807.64
     10000000    2670.27
   N=100, steps=72305965
     Blaze       = 1        (2.01148)
   N=1000, steps=9404096
     Blaze       = 1        (2.00036)
   N=10000, steps=403729
     Blaze       = 1        (1.98066)
   N=100000, steps=23289
     Blaze       = 1        (1.90942)
   N=1000000, steps=6285
     Blaze       = 1        (1.84645)
   N=10000000, steps=206
     Blaze       = 1        (1.54291)
