
 Daxpy product:
   Blaze [MFlop/s]:
     100         7184.29
     1000        9485.02
     10000       3951.56
     100000      1257.03
     1000000     6688.51
     10000000    2615.54
   N=100, steps=72231522
     Blaze       = 1        (2.01082)
   N=1000, steps=9406077
     Blaze       = 1        (1.98335)
   N=10000, steps=405495
     Blaze       = 1        (2.05233)
   N=100000, steps=12414
     Blaze       = 1        (1.97512)
   N=1000000, steps=6653
     Blaze       = 1        (1.98938)
   N=10000000, steps=204
     Blaze       = 1        (1.55991)
