
 Daxpy product:
   Blaze [MFlop/s]:
     100         7176.81
     1000        9485.7
     10000       4005.49
     100000      2484.71
     1000000     7461.47
     10000000    2467.87
   N=100, steps=68693448
     Blaze       = 1        (1.91432)
   N=1000, steps=9406922
     Blaze       = 1        (1.98339)
   N=10000, steps=410267
     Blaze       = 1        (2.04852)
   N=100000, steps=23390
     Blaze       = 1        (1.88272)
   N=1000000, steps=6929
     Blaze       = 1        (1.85727)
   N=10000000, steps=217
     Blaze       = 1        (1.7586)
