
 Daxpy product:
   Blaze [MFlop/s]:
     100         7129.08
     1000        9124.95
     10000       4100.71
     100000      7818.29
     1000000     8881.6
     10000000    3286.17
   N=100, steps=70945316
     Blaze       = 1        (1.99031)
   N=1000, steps=9025753
     Blaze       = 1        (1.97826)
   N=10000, steps=348913
     Blaze       = 1        (1.70172)
   N=100000, steps=72497
     Blaze       = 1        (1.85455)
   N=1000000, steps=7822
     Blaze       = 1        (1.76139)
   N=10000000, steps=202
     Blaze       = 1        (1.22939)
