run # 1

std::seq: 1.22125e+07 microsec. 

std::par: 1.22347e+07 microsec. 

std::par_unseq: 1.23234e+07 microsec. 

run # 2

std::seq: 1.22154e+07 microsec. 

std::par: 1.23203e+07 microsec. 

std::par_unseq: 1.23169e+07 microsec. 

run # 3

std::seq: 1.22343e+07 microsec. 

std::par: 1.22287e+07 microsec. 

std::par_unseq: 1.23726e+07 microsec. 

run # 4

std::seq: 1.22556e+07 microsec. 

std::par: 1.22463e+07 microsec. 

std::par_unseq: 1.23492e+07 microsec. 

run # 5

std::seq: 1.22743e+07 microsec. 

std::par: 1.22514e+07 microsec. 

std::par_unseq: 1.23469e+07 microsec. 

run # 6

std::seq: 1.22348e+07 microsec. 

std::par: 1.2237e+07 microsec. 

std::par_unseq: 1.23306e+07 microsec. 

