run # 1

std::seq: 1.22307e+07 microsec. 

std::par: 1.22278e+07 microsec. 

std::par_unseq: 1.23145e+07 microsec. 

run # 2

std::seq: 1.22617e+07 microsec. 

std::par: 1.22067e+07 microsec. 

std::par_unseq: 1.23734e+07 microsec. 

run # 3

std::seq: 1.22719e+07 microsec. 

std::par: 1.22081e+07 microsec. 

std::par_unseq: 1.23543e+07 microsec. 

run # 4

std::seq: 1.22115e+07 microsec. 

std::par: 1.22738e+07 microsec. 

std::par_unseq: 1.23131e+07 microsec. 

run # 5

std::seq: 1.22104e+07 microsec. 

std::par: 1.23361e+07 microsec. 

std::par_unseq: 1.23223e+07 microsec. 

run # 6

std::seq: 1.22564e+07 microsec. 

std::par: 1.22099e+07 microsec. 

std::par_unseq: 1.23691e+07 microsec. 

