run # 1

std::seq: 1.23901e+07 microsec. 

std::par: 1.22395e+07 microsec. 

std::par_unseq: 1.24721e+07 microsec. 

run # 2

std::seq: 1.22158e+07 microsec. 

std::par: 1.22354e+07 microsec. 

std::par_unseq: 1.23252e+07 microsec. 

run # 3

std::seq: 1.22264e+07 microsec. 

std::par: 1.22605e+07 microsec. 

std::par_unseq: 1.23246e+07 microsec. 

run # 4

std::seq: 1.2237e+07 microsec. 

std::par: 1.22418e+07 microsec. 

std::par_unseq: 1.23125e+07 microsec. 

run # 5

std::seq: 1.22403e+07 microsec. 

std::par: 1.22179e+07 microsec. 

std::par_unseq: 1.23366e+07 microsec. 

run # 6

std::seq: 1.22953e+07 microsec. 

std::par: 1.22204e+07 microsec. 

std::par_unseq: 1.24065e+07 microsec. 

