
 Daxpy product:
   Blaze [MFlop/s]:
     100         5889.76
     1000        6301.89
     10000       4325.04
     100000      2767.46
     1000000     3982.57
     10000000    1981.72
   N=100, steps=56840711
     Blaze       = 1        (1.93016)
   N=1000, steps=6298945
     Blaze       = 1        (1.99907)
   N=10000, steps=378849
     Blaze       = 1        (1.75189)
   N=100000, steps=27768
     Blaze       = 1        (2.00675)
   N=1000000, steps=3948
     Blaze       = 1        (1.98264)
   N=10000000, steps=174
     Blaze       = 1        (1.75605)
