
 Daxpy product:
   Blaze [MFlop/s]:
     100         6082.3
     1000        6265.42
     10000       4343.21
     100000      2425.96
     1000000     3933.75
     10000000    1889.04
   N=100, steps=59467113
     Blaze       = 1        (1.95542)
   N=1000, steps=6305194
     Blaze       = 1        (2.0127)
   N=10000, steps=421704
     Blaze       = 1        (1.9419)
   N=100000, steps=24012
     Blaze       = 1        (1.97959)
   N=1000000, steps=3894
     Blaze       = 1        (1.97979)
   N=10000000, steps=177
     Blaze       = 1        (1.87397)
