
 Daxpy product:
   Blaze [MFlop/s]:
     100         6050.91
     1000        6321.78
     10000       4139.42
     100000      2427.05
     1000000     3915.36
     10000000    1861.08
   N=100, steps=59901955
     Blaze       = 1        (1.97993)
   N=1000, steps=6293199
     Blaze       = 1        (1.99096)
   N=10000, steps=442816
     Blaze       = 1        (2.13951)
   N=100000, steps=23932
     Blaze       = 1        (1.9721)
   N=1000000, steps=3889
     Blaze       = 1        (1.98654)
   N=10000000, steps=182
     Blaze       = 1        (1.95585)
