
 Daxpy product:
   Blaze [MFlop/s]:
     100         6053.9
     1000        6291.94
     10000       4282.58
     100000      2518.33
     1000000     3679.6
     10000000    1596.69
   N=100, steps=57130471
     Blaze       = 1        (1.88739)
   N=1000, steps=6243438
     Blaze       = 1        (1.98458)
   N=10000, steps=388946
     Blaze       = 1        (1.81641)
   N=100000, steps=24939
     Blaze       = 1        (1.9806)
   N=1000000, steps=3682
     Blaze       = 1        (2.0013)
   N=10000000, steps=172
     Blaze       = 1        (2.15446)
