
 Daxpy product:
   Blaze [MFlop/s]:
     100         5999.86
     1000        6274.08
     10000       4412.12
     100000      2704.16
     1000000     3901.05
     10000000    2010.2
   N=100, steps=58484709
     Blaze       = 1        (1.94954)
   N=1000, steps=6328311
     Blaze       = 1        (2.01729)
   N=10000, steps=418451
     Blaze       = 1        (1.89682)
   N=100000, steps=26622
     Blaze       = 1        (1.96897)
   N=1000000, steps=3886
     Blaze       = 1        (1.99228)
   N=10000000, steps=181
     Blaze       = 1        (1.80081)
