
 Daxpy product:
   Blaze [MFlop/s]:
     100         6100.66
     1000        6294.54
     10000       4375.28
     100000      2477.25
     1000000     3930.23
     10000000    1864.89
   N=100, steps=58579697
     Blaze       = 1        (1.92044)
   N=1000, steps=6232233
     Blaze       = 1        (1.9802)
   N=10000, steps=409667
     Blaze       = 1        (1.87264)
   N=100000, steps=24669
     Blaze       = 1        (1.99164)
   N=1000000, steps=3921
     Blaze       = 1        (1.9953)
   N=10000000, steps=177
     Blaze       = 1        (1.89823)
