
 Daxpy product:
   Blaze [MFlop/s]:
     100         6056.57
     1000        6253.69
     10000       4217.07
     100000      2558.2
     1000000     3926.83
     10000000    1872.01
   N=100, steps=59344245
     Blaze       = 1        (1.95967)
   N=1000, steps=6334408
     Blaze       = 1        (2.02581)
   N=10000, steps=414020
     Blaze       = 1        (1.96354)
   N=100000, steps=25615
     Blaze       = 1        (2.00258)
   N=1000000, steps=3903
     Blaze       = 1        (1.98786)
   N=10000000, steps=187
     Blaze       = 1        (1.99785)
