
 Daxpy product:
   Blaze [MFlop/s]:
     100         5950.77
     1000        6274.8
     10000       3922.34
     100000      2580.37
     1000000     3883.27
     10000000    1858.12
   N=100, steps=59718134
     Blaze       = 1        (2.00707)
   N=1000, steps=6312044
     Blaze       = 1        (2.01187)
   N=10000, steps=438132
     Blaze       = 1        (2.23403)
   N=100000, steps=25338
     Blaze       = 1        (1.9639)
   N=1000000, steps=3885
     Blaze       = 1        (2.00089)
   N=10000000, steps=186
     Blaze       = 1        (2.00202)
